id,rulebreaker_type,category,firstName,pronoun,verb,entityA,entityB,premise1,premise2,conclusion,label
RULEBREAKER_0000027_nonrb,mt,cities,Vusala,she,is in,Poland,Kingstown,"If Vusala is in Poland, then she is not in Kingstown.",Vusala is in Kingstown.,Vusala is not in Poland.,True
RULEBREAKER_0000028_nonrb,mt,cities,Aadhya,she,is in,Chile,Cairo,"If Aadhya is in Chile, then she is not in Cairo.",Aadhya is in Cairo.,Aadhya is not in Chile.,True
RULEBREAKER_0000029_nonrb,mt,cities,Lazar,he,is in,Mauritius,Port of Spain,"If Lazar is in Mauritius, then he is not in Port of Spain.",Lazar is in Port of Spain.,Lazar is not in Mauritius.,True
RULEBREAKER_0000030_nonrb,mt,cities,Emiliya,she,is in,Jordan,Vaduz,"If Emiliya is in Jordan, then she is not in Vaduz.",Emiliya is in Vaduz.,Emiliya is not in Jordan.,True
RULEBREAKER_0000031_nonrb,mt,cities,Gamalat,she,is in,Uruguay,Rabat,"If Gamalat is in Uruguay, then she is not in Rabat.",Gamalat is in Rabat.,Gamalat is not in Uruguay.,True
RULEBREAKER_0000032_nonrb,mt,cities,Shristi,she,is in,Myanmar,Paramaribo,"If Shristi is in Myanmar, then she is not in Paramaribo.",Shristi is in Paramaribo.,Shristi is not in Myanmar.,True
RULEBREAKER_0000033_nonrb,mt,cities,Adrians,he,is in,France,Malabo,"If Adrians is in France, then he is not in Malabo.",Adrians is in Malabo.,Adrians is not in France.,True
RULEBREAKER_0000034_nonrb,mt,cities,Gevorg,he,is in,Andorra,Praia,"If Gevorg is in Andorra, then he is not in Praia.",Gevorg is in Praia.,Gevorg is not in Andorra.,True
RULEBREAKER_0000035_nonrb,mt,cities,Heikapu,she,is in,Saudi Arabia,Tashkent,"If Heikapu is in Saudi Arabia, then she is not in Tashkent.",Heikapu is in Tashkent.,Heikapu is not in Saudi Arabia.,True
RULEBREAKER_0000036_nonrb,mt,cities,Shams,she,is in,The Gambia,Abu Dhabi,"If Shams is in The Gambia, then she is not in Abu Dhabi.",Shams is in Abu Dhabi.,Shams is not in The Gambia.,True
RULEBREAKER_0000037_nonrb,mt,cities,Rosmery,she,is in,Malaysia,Niamey,"If Rosmery is in Malaysia, then she is not in Niamey.",Rosmery is in Niamey.,Rosmery is not in Malaysia.,True
RULEBREAKER_0000038_nonrb,mt,cities,Selim,he,is in,Turkmenistan,Ankara,"If Selim is in Turkmenistan, then he is not in Ankara.",Selim is in Ankara.,Selim is not in Turkmenistan.,True
RULEBREAKER_0000039_nonrb,mt,cities,Giorgi,he,is in,Ukraine,Tehran,"If Giorgi is in Ukraine, then he is not in Tehran.",Giorgi is in Tehran.,Giorgi is not in Ukraine.,True
RULEBREAKER_0000040_nonrb,mt,cities,Melokuhle,she,is in,Malawi,Port Moresby,"If Melokuhle is in Malawi, then she is not in Port Moresby.",Melokuhle is in Port Moresby.,Melokuhle is not in Malawi.,True
RULEBREAKER_0000041_nonrb,mt,cities,Aþena,she,is in,Gabon,Asunción,"If Aþena is in Gabon, then she is not in Asunción.",Aþena is in Asunción.,Aþena is not in Gabon.,True
RULEBREAKER_0000042_nonrb,mt,cities,Mahesh,he,is in,Japan,Banjul,"If Mahesh is in Japan, then he is not in Banjul.",Mahesh is in Banjul.,Mahesh is not in Japan.,True
RULEBREAKER_0000043_nonrb,mt,cities,Ha-eun,she,is in,São Tomé and Príncipe,Bishkek,"If Ha-eun is in São Tomé and Príncipe, then she is not in Bishkek.",Ha-eun is in Bishkek.,Ha-eun is not in São Tomé and Príncipe.,True
RULEBREAKER_0000044_nonrb,mt,cities,Victoria,she,is in,Egypt,Beirut,"If Victoria is in Egypt, then she is not in Beirut.",Victoria is in Beirut.,Victoria is not in Egypt.,True
RULEBREAKER_0000045_nonrb,mt,cities,Anna,she,is in,Montenegro,New Delhi,"If Anna is in Montenegro, then she is not in New Delhi.",Anna is in New Delhi.,Anna is not in Montenegro.,True
RULEBREAKER_0000046_nonrb,mt,cities,Felix,he,is in,Brazil,Majuro,"If Felix is in Brazil, then he is not in Majuro.",Felix is in Majuro.,Felix is not in Brazil.,True
RULEBREAKER_0000047_nonrb,mt,cities,Catalina,she,is in,Kuwait,Tegucigalpa,"If Catalina is in Kuwait, then she is not in Tegucigalpa.",Catalina is in Tegucigalpa.,Catalina is not in Kuwait.,True
RULEBREAKER_0000048_nonrb,mt,cities,Hussain,he,is in,Niger,Berlin,"If Hussain is in Niger, then he is not in Berlin.",Hussain is in Berlin.,Hussain is not in Niger.,True
RULEBREAKER_0000049_nonrb,mt,cities,Yasmine,she,is in,Mexico,Zagreb,"If Yasmine is in Mexico, then she is not in Zagreb.",Yasmine is in Zagreb.,Yasmine is not in Mexico.,True
RULEBREAKER_0000050_nonrb,mt,cities,Aariz,he,is in,Switzerland,Castries,"If Aariz is in Switzerland, then he is not in Castries.",Aariz is in Castries.,Aariz is not in Switzerland.,True
RULEBREAKER_0000051_nonrb,mt,cities,Emmanuel,he,is in,Tonga,Kabul,"If Emmanuel is in Tonga, then he is not in Kabul.",Emmanuel is in Kabul.,Emmanuel is not in Tonga.,True
RULEBREAKER_0000052_nonrb,mt,cities,Mariana,she,is in,El Salvador,Gitega,"If Mariana is in El Salvador, then she is not in Gitega.",Mariana is in Gitega.,Mariana is not in El Salvador.,True
RULEBREAKER_0000053_nonrb,mt,cities,Lethokuhle,she,is in,Cape Verde,Ngerulmud,"If Lethokuhle is in Cape Verde, then she is not in Ngerulmud.",Lethokuhle is in Ngerulmud.,Lethokuhle is not in Cape Verde.,True
RULEBREAKER_0000054_nonrb,mt,cities,Lorenzo,he,is in,Finland,Brazzaville,"If Lorenzo is in Finland, then he is not in Brazzaville.",Lorenzo is in Brazzaville.,Lorenzo is not in Finland.,True
RULEBREAKER_0000055_nonrb,mt,cities,Maligiaq,he,is in,Botswana,Minsk,"If Maligiaq is in Botswana, then he is not in Minsk.",Maligiaq is in Minsk.,Maligiaq is not in Botswana.,True
RULEBREAKER_0000056_nonrb,mt,cities,Aasha,she,is in,Kiribati,Riga,"If Aasha is in Kiribati, then she is not in Riga.",Aasha is in Riga.,Aasha is not in Kiribati.,True
RULEBREAKER_0000057_nonrb,mt,cities,Samvel,he,is in,Bulgaria,Seoul,"If Samvel is in Bulgaria, then he is not in Seoul.",Samvel is in Seoul.,Samvel is not in Bulgaria.,True
RULEBREAKER_0000058_nonrb,mt,cities,Dejan,he,is in,Nepal,Athens,"If Dejan is in Nepal, then he is not in Athens.",Dejan is in Athens.,Dejan is not in Nepal.,True
RULEBREAKER_0000059_nonrb,mt,cities,Adéla,she,is in,New Zealand,Montevideo,"If Adéla is in New Zealand, then she is not in Montevideo.",Adéla is in Montevideo.,Adéla is not in New Zealand.,True
RULEBREAKER_0000060_nonrb,mt,cities,June,she,is in,Solomon Islands,Moscow,"If June is in Solomon Islands, then she is not in Moscow.",June is in Moscow.,June is not in Solomon Islands.,True
RULEBREAKER_0000061_nonrb,mt,cities,Lilly,she,is in,United Kingdom,Asmara,"If Lilly is in United Kingdom, then she is not in Asmara.",Lilly is in Asmara.,Lilly is not in United Kingdom.,True
RULEBREAKER_0000062_nonrb,mt,cities,Eleni,she,is in,Libya,Malé,"If Eleni is in Libya, then she is not in Malé.",Eleni is in Malé.,Eleni is not in Libya.,True
RULEBREAKER_0000063_nonrb,mt,cities,Arman,he,is in,Antigua and Barbuda,Yamoussoukro,"If Arman is in Antigua and Barbuda, then he is not in Yamoussoukro.",Arman is in Yamoussoukro.,Arman is not in Antigua and Barbuda.,True
RULEBREAKER_0000064_nonrb,mt,cities,Goran,he,is in,Algeria,Tallinn,"If Goran is in Algeria, then he is not in Tallinn.",Goran is in Tallinn.,Goran is not in Algeria.,True
RULEBREAKER_0000065_nonrb,mt,cities,Suha,she,is in,Chad,Bern,"If Suha is in Chad, then she is not in Bern.",Suha is in Bern.,Suha is not in Chad.,True
RULEBREAKER_0000066_nonrb,mt,cities,Nurislam,he,is in,Peru,Copenhagen,"If Nurislam is in Peru, then he is not in Copenhagen.",Nurislam is in Copenhagen.,Nurislam is not in Peru.,True
RULEBREAKER_0000067_nonrb,mt,cities,Sobia,she,is in,Jamaica,Bucharest,"If Sobia is in Jamaica, then she is not in Bucharest.",Sobia is in Bucharest.,Sobia is not in Jamaica.,True
RULEBREAKER_0000068_nonrb,mt,cities,Ambre,she,is in,Liberia,Baku,"If Ambre is in Liberia, then she is not in Baku.",Ambre is in Baku.,Ambre is not in Liberia.,True
RULEBREAKER_0000069_nonrb,mt,cities,Matei,he,is in,Burkina Faso,Sofia,"If Matei is in Burkina Faso, then he is not in Sofia.",Matei is in Sofia.,Matei is not in Burkina Faso.,True
RULEBREAKER_0000070_nonrb,mt,cities,Alise,she,is in,Azerbaijan,Oslo,"If Alise is in Azerbaijan, then she is not in Oslo.",Alise is in Oslo.,Alise is not in Azerbaijan.,True
RULEBREAKER_0000071_nonrb,mt,cities,Raquel,she,is in,Cyprus,Thimphu,"If Raquel is in Cyprus, then she is not in Thimphu.",Raquel is in Thimphu.,Raquel is not in Cyprus.,True
RULEBREAKER_0000072_nonrb,mt,cities,Logan,he,is in,India,Basseterre,"If Logan is in India, then he is not in Basseterre.",Logan is in Basseterre.,Logan is not in India.,True
RULEBREAKER_0000073_nonrb,mt,cities,Lourenço,he,is in,Dominican Republic,Manila,"If Lourenço is in Dominican Republic, then he is not in Manila.",Lourenço is in Manila.,Lourenço is not in Dominican Republic.,True
RULEBREAKER_0000074_nonrb,mt,cities,Mikołaj,he,is in,Slovenia,Dublin,"If Mikołaj is in Slovenia, then he is not in Dublin.",Mikołaj is in Dublin.,Mikołaj is not in Slovenia.,True
RULEBREAKER_0000075_nonrb,mt,cities,Tatsuki,he,is in,The Bahamas,Santo Domingo,"If Tatsuki is in The Bahamas, then he is not in Santo Domingo.",Tatsuki is in Santo Domingo.,Tatsuki is not in The Bahamas.,True
RULEBREAKER_0000076_nonrb,mt,cities,Hasan,he,is in,Tunisia,Canberra,"If Hasan is in Tunisia, then he is not in Canberra.",Hasan is in Canberra.,Hasan is not in Tunisia.,True
RULEBREAKER_0000077_nonrb,mt,cities,Jacob,he,is in,Madagascar,Palikir,"If Jacob is in Madagascar, then he is not in Palikir.",Jacob is in Palikir.,Jacob is not in Madagascar.,True
RULEBREAKER_0000078_nonrb,mt,cities,Mehdi,he,is in,Eritrea,Tokyo,"If Mehdi is in Eritrea, then he is not in Tokyo.",Mehdi is in Tokyo.,Mehdi is not in Eritrea.,True
RULEBREAKER_0000079_nonrb,mt,cities,Yulia,she,is in,Iran,Naypyidaw,"If Yulia is in Iran, then she is not in Naypyidaw.",Yulia is in Naypyidaw.,Yulia is not in Iran.,True
RULEBREAKER_0000080_nonrb,mt,cities,Lena,she,is in,Benin,Lisbon,"If Lena is in Benin, then she is not in Lisbon.",Lena is in Lisbon.,Lena is not in Benin.,True
RULEBREAKER_0000081_nonrb,mt,cities,Juana,she,is in,Bosnia and Herzegovina,Kyiv,"If Juana is in Bosnia and Herzegovina, then she is not in Kyiv.",Juana is in Kyiv.,Juana is not in Bosnia and Herzegovina.,True
RULEBREAKER_0000082_nonrb,mt,cities,Maryam,she,is in,Democratic Republic of the Congo,Kigali,"If Maryam is in Democratic Republic of the Congo, then she is not in Kigali.",Maryam is in Kigali.,Maryam is not in Democratic Republic of the Congo.,True
RULEBREAKER_0000083_nonrb,mt,cities,Cillian,he,is in,Afghanistan,St. George's,"If Cillian is in Afghanistan, then he is not in St. George's.",Cillian is in St. George's.,Cillian is not in Afghanistan.,True
RULEBREAKER_0000084_nonrb,mt,cities,Tiago,he,is in,Kingdom of Denmark,Yaoundé,"If Tiago is in Kingdom of Denmark, then he is not in Yaoundé.",Tiago is in Yaoundé.,Tiago is not in Kingdom of Denmark.,True
RULEBREAKER_0000085_nonrb,mt,cities,Míngzé,he,is in,Maldives,Lusaka,"If Míngzé is in Maldives, then he is not in Lusaka.",Míngzé is in Lusaka.,Míngzé is not in Maldives.,True
RULEBREAKER_0000086_nonrb,mt,cities,Julie,she,is in,Namibia,Funafuti,"If Julie is in Namibia, then she is not in Funafuti.",Julie is in Funafuti.,Julie is not in Namibia.,True
RULEBREAKER_0000087_nonrb,mt,cities,Hina,she,is in,Grenada,Khartoum,"If Hina is in Grenada, then she is not in Khartoum.",Hina is in Khartoum.,Hina is not in Grenada.,True
RULEBREAKER_0000088_nonrb,mt,cities,Ariel,he,is in,Syria,Juba,"If Ariel is in Syria, then he is not in Juba.",Ariel is in Juba.,Ariel is not in Syria.,True
RULEBREAKER_0000089_nonrb,mt,cities,Margaret,she,is in,Nauru,Addis Ababa,"If Margaret is in Nauru, then she is not in Addis Ababa.",Margaret is in Addis Ababa.,Margaret is not in Nauru.,True
RULEBREAKER_0000090_nonrb,mt,cities,Luknė,she,is in,Czech Republic,Reykjavík,"If Luknė is in Czech Republic, then she is not in Reykjavík.",Luknė is in Reykjavík.,Luknė is not in Czech Republic.,True
RULEBREAKER_0000091_nonrb,mt,cities,Abdoulaye,he,is in,Latvia,Chișinău,"If Abdoulaye is in Latvia, then he is not in Chișinău.",Abdoulaye is in Chișinău.,Abdoulaye is not in Latvia.,True
RULEBREAKER_0000092_nonrb,mt,cities,Malachi,he,is in,Ecuador,São Tomé,"If Malachi is in Ecuador, then he is not in São Tomé.",Malachi is in São Tomé.,Malachi is not in Ecuador.,True
RULEBREAKER_0000093_nonrb,mt,cities,Mohammed,he,is in,Sierra Leone,Nicosia,"If Mohammed is in Sierra Leone, then he is not in Nicosia.",Mohammed is in Nicosia.,Mohammed is not in Sierra Leone.,True
RULEBREAKER_0000094_nonrb,mt,cities,Carl,he,is in,Kazakhstan,Georgetown,"If Carl is in Kazakhstan, then he is not in Georgetown.",Carl is in Georgetown.,Carl is not in Kazakhstan.,True
RULEBREAKER_0000095_nonrb,mt,cities,Ju-won,he,is in,Thailand,Amman,"If Ju-won is in Thailand, then he is not in Amman.",Ju-won is in Amman.,Ju-won is not in Thailand.,True
RULEBREAKER_0000096_nonrb,mt,cities,Yoana,she,is in,Paraguay,Andorra la Vella,"If Yoana is in Paraguay, then she is not in Andorra la Vella.",Yoana is in Andorra la Vella.,Yoana is not in Paraguay.,True
RULEBREAKER_0000097_nonrb,mt,cities,Merjem,she,is in,Bahrain,Belgrade,"If Merjem is in Bahrain, then she is not in Belgrade.",Merjem is in Belgrade.,Merjem is not in Bahrain.,True
RULEBREAKER_0000098_nonrb,mt,cities,Artyom,he,is in,Federated States of Micronesia,Sarajevo,"If Artyom is in Federated States of Micronesia, then he is not in Sarajevo.",Artyom is in Sarajevo.,Artyom is not in Federated States of Micronesia.,True
RULEBREAKER_0000099_nonrb,mt,cities,Aysel,she,is in,Romania,Amsterdam,"If Aysel is in Romania, then she is not in Amsterdam.",Aysel is in Amsterdam.,Aysel is not in Romania.,True
RULEBREAKER_0000100_nonrb,mt,cities,Zina,she,is in,East Timor,Freetown,"If Zina is in East Timor, then she is not in Freetown.",Zina is in Freetown.,Zina is not in East Timor.,True
RULEBREAKER_0000101_nonrb,mt,cities,Ahmet,he,is in,Lesotho,Bogotá,"If Ahmet is in Lesotho, then he is not in Bogotá.",Ahmet is in Bogotá.,Ahmet is not in Lesotho.,True
RULEBREAKER_0000102_nonrb,mt,cities,Sunita,she,is in,Zimbabwe,Yaren District,"If Sunita is in Zimbabwe, then she is not in Yaren District.",Sunita is in Yaren District.,Sunita is not in Zimbabwe.,True
RULEBREAKER_0000103_nonrb,mt,cities,George,he,is in,Colombia,Ottawa,"If George is in Colombia, then he is not in Ottawa.",George is in Ottawa.,George is not in Colombia.,True
RULEBREAKER_0000104_nonrb,mt,cities,Zahra,she,is in,Somalia,Windhoek,"If Zahra is in Somalia, then she is not in Windhoek.",Zahra is in Windhoek.,Zahra is not in Somalia.,True
RULEBREAKER_0000105_nonrb,mt,cities,Hydar,he,is in,Fiji,Manama,"If Hydar is in Fiji, then he is not in Manama.",Hydar is in Manama.,Hydar is not in Fiji.,True
RULEBREAKER_0000106_nonrb,mt,cities,Viraj,he,is in,Serbia,Victoria,"If Viraj is in Serbia, then he is not in Victoria.",Viraj is in Victoria.,Viraj is not in Serbia.,True
RULEBREAKER_0000107_nonrb,mt,cities,Amelia,she,is in,Belize,Damascus,"If Amelia is in Belize, then she is not in Damascus.",Amelia is in Damascus.,Amelia is not in Belize.,True
RULEBREAKER_0000108_nonrb,mt,cities,Pablo,he,is in,Liechtenstein,Kuwait City,"If Pablo is in Liechtenstein, then he is not in Kuwait City.",Pablo is in Kuwait City.,Pablo is not in Liechtenstein.,True
RULEBREAKER_0000109_nonrb,mt,cities,Daris,he,is in,Tanzania,N'Djamena,"If Daris is in Tanzania, then he is not in N'Djamena.",Daris is in N'Djamena.,Daris is not in Tanzania.,True
RULEBREAKER_0000110_nonrb,mt,cities,Aaron,he,is in,Guatemala,Ljubljana,"If Aaron is in Guatemala, then he is not in Ljubljana.",Aaron is in Ljubljana.,Aaron is not in Guatemala.,True
RULEBREAKER_0000111_nonrb,mt,cities,Raphaël,he,is in,Albania,Lima,"If Raphaël is in Albania, then he is not in Lima.",Raphaël is in Lima.,Raphaël is not in Albania.,True
RULEBREAKER_0000112_nonrb,mt,cities,Gamila,she,is in,Ivory Coast,Kinshasa,"If Gamila is in Ivory Coast, then she is not in Kinshasa.",Gamila is in Kinshasa.,Gamila is not in Ivory Coast.,True
RULEBREAKER_0000113_nonrb,mt,cities,Amir-Hossein,he,is in,Papua New Guinea,Mexico City,"If Amir-Hossein is in Papua New Guinea, then he is not in Mexico City.",Amir-Hossein is in Mexico City.,Amir-Hossein is not in Papua New Guinea.,True
RULEBREAKER_0000114_nonrb,mt,cities,Emīls,he,is in,Brunei,Kampala,"If Emīls is in Brunei, then he is not in Kampala.",Emīls is in Kampala.,Emīls is not in Brunei.,True
RULEBREAKER_0000115_nonrb,mt,cities,Grace,she,is in,Estonia,Lomé,"If Grace is in Estonia, then she is not in Lomé.",Grace is in Lomé.,Grace is not in Estonia.,True
RULEBREAKER_0000116_nonrb,mt,cities,Alexandra,she,is in,Kyrgyzstan,Rome,"If Alexandra is in Kyrgyzstan, then she is not in Rome.",Alexandra is in Rome.,Alexandra is not in Kyrgyzstan.,True
RULEBREAKER_0000117_nonrb,mt,cities,Lea,she,is in,Belarus,Port Vila,"If Lea is in Belarus, then she is not in Port Vila.",Lea is in Port Vila.,Lea is not in Belarus.,True
RULEBREAKER_0000118_nonrb,mt,cities,Siphosethu,he,is in,Dominica,Ashgabat,"If Siphosethu is in Dominica, then he is not in Ashgabat.",Siphosethu is in Ashgabat.,Siphosethu is not in Dominica.,True
RULEBREAKER_0000119_nonrb,mt,cities,Habib,he,is in,Senegal,Caracas,"If Habib is in Senegal, then he is not in Caracas.",Habib is in Caracas.,Habib is not in Senegal.,True
RULEBREAKER_0000120_nonrb,mt,cities,César,he,is in,Palau,Warsaw,"If César is in Palau, then he is not in Warsaw.",César is in Warsaw.,César is not in Palau.,True
RULEBREAKER_0000121_nonrb,mt,cities,Eevi,she,is in,Haiti,Podgorica,"If Eevi is in Haiti, then she is not in Podgorica.",Eevi is in Podgorica.,Eevi is not in Haiti.,True
RULEBREAKER_0000122_nonrb,mt,cities,Yǔtóng,she,is in,Uganda,Abuja,"If Yǔtóng is in Uganda, then she is not in Abuja.",Yǔtóng is in Abuja.,Yǔtóng is not in Uganda.,True
RULEBREAKER_0000123_nonrb,mt,cities,Duarte,he,is in,Philippines,Vientiane,"If Duarte is in Philippines, then he is not in Vientiane.",Duarte is in Vientiane.,Duarte is not in Philippines.,True
RULEBREAKER_0000124_nonrb,mt,cities,Nur,she,is in,Nicaragua,Wellington,"If Nur is in Nicaragua, then she is not in Wellington.",Nur is in Wellington.,Nur is not in Nicaragua.,True
RULEBREAKER_0000125_nonrb,mt,cities,Aimar,he,is in,Angola,San Salvador,"If Aimar is in Angola, then he is not in San Salvador.",Aimar is in San Salvador.,Aimar is not in Angola.,True
RULEBREAKER_0000126_nonrb,mt,cities,Arthur,he,is in,Tuvalu,Taipei,"If Arthur is in Tuvalu, then he is not in Taipei.",Arthur is in Taipei.,Arthur is not in Tuvalu.,True
RULEBREAKER_0000127_nonrb,mt,cities,Aylin,she,is in,Iceland,Budapest,"If Aylin is in Iceland, then she is not in Budapest.",Aylin is in Budapest.,Aylin is not in Iceland.,True
RULEBREAKER_0000128_nonrb,mt,cities,Mahmoud,he,is in,Lithuania,Port Louis,"If Mahmoud is in Lithuania, then he is not in Port Louis.",Mahmoud is in Port Louis.,Mahmoud is not in Lithuania.,True
RULEBREAKER_0000129_nonrb,mt,cities,Oscar,he,is in,Georgia,Porto-Novo,"If Oscar is in Georgia, then he is not in Porto-Novo.",Oscar is in Porto-Novo.,Oscar is not in Georgia.,True
RULEBREAKER_0000130_nonrb,mt,cities,Dániel,he,is in,Russia,Tirana,"If Dániel is in Russia, then he is not in Tirana.",Dániel is in Tirana.,Dániel is not in Russia.,True
RULEBREAKER_0000131_nonrb,mt,cities,Melina,she,is in,Morocco,Nairobi,"If Melina is in Morocco, then she is not in Nairobi.",Melina is in Nairobi.,Melina is not in Morocco.,True
RULEBREAKER_0000132_nonrb,mt,cities,Mohammad,he,is in,Hungary,Buenos Aires,"If Mohammad is in Hungary, then he is not in Buenos Aires.",Mohammad is in Buenos Aires.,Mohammad is not in Hungary.,True
RULEBREAKER_0000133_nonrb,mt,cities,Antoni,he,is in,Croatia,Hanoi,"If Antoni is in Croatia, then he is not in Hanoi.",Antoni is in Hanoi.,Antoni is not in Croatia.,True
RULEBREAKER_0000134_nonrb,mt,cities,Amine,he,is in,Mauritania,Valletta,"If Amine is in Mauritania, then he is not in Valletta.",Amine is in Valletta.,Amine is not in Mauritania.,True
RULEBREAKER_0000135_nonrb,mt,cities,Lesedi,she,is in,United States of America,Ouagadougou,"If Lesedi is in United States of America, then she is not in Ouagadougou.",Lesedi is in Ouagadougou.,Lesedi is not in United States of America.,True
RULEBREAKER_0000136_nonrb,mt,cities,Bibek,he,is in,Kingdom of the Netherlands,Dhaka,"If Bibek is in Kingdom of the Netherlands, then he is not in Dhaka.",Bibek is in Dhaka.,Bibek is not in Kingdom of the Netherlands.,True
